"NDC","YEAR","MONTH"
"0024-5800-90",2007,8
"0024-5801-15",2008,4
"0024-5801-21",2008,4
"0024-5824-11",2010,6
"0024-5840-01",2012,8
"0024-5840-03",2012,8
"0024-5841-01",2012,8
"0024-5843-05",1991,5
"0024-5844-01",1996,12
"0024-5844-05",1996,12
"0024-5850-30",2013,1
"0024-5850-90",2013,1
"0024-5851-30",2013,1
"0024-5851-90",2013,1
"0024-5852-30",2013,1
"0024-5852-90",2013,1
"0024-5855-30",2013,1
"0024-5855-90",2013,1
"0024-5856-30",2013,1
"0024-5856-90",2013,1
"0024-5860-01",2013,4
"0024-5862-01",2013,9
"0024-5869-03",2015,2
"0024-5901-00",2015,7
"0024-5901-01",2015,7
"0024-5901-02",2015,7
"0024-5902-00",2015,7
"0024-5902-01",2015,7
"0024-5902-02",2015,7
"0024-5903-00",2015,7
"0024-5903-01",2015,7
"0024-5903-02",2015,7
"0024-5904-00",2015,7
"0024-5904-01",2015,7
"0024-5904-02",2015,7
"0024-5908-01",2017,5
"0024-5908-02",2017,5
"0024-5910-01",2017,5
"0024-5910-02",2017,5
"0024-5914-01",2017,3
"0024-5916-01",2017,3
"0024-5917-01",2017,7
"0024-5924-10",2017,12
"0024-5925-00",2017,12
"0024-5925-05",2017,12
"0025-0061-31",1960,9
"0025-0166-08",1990,2
"0025-1001-31",1960,1
"0025-1011-31",1978,1
"0025-1021-31",1978,1
"0025-1031-31",1960,1
"0025-1041-31",1960,1
"0025-1381-31",1992,10
"0025-1381-34",1992,10
"0025-1381-51",1992,10
"0025-1411-34",1997,12
"0025-1411-60",1997,12
"0025-1411-90",1997,12
"0025-1421-34",1997,12
"0025-1421-60",1997,12
"0025-1451-20",1986,12
"0025-1451-34",1986,12
"0025-1451-60",1986,12
"0025-1461-31",1986,12
"0025-1461-34",1986,12
"0025-1461-60",1986,12
"0025-1515-01",1998,10
"0025-1520-31",1998,10
"0025-1520-34",1998,10
"0025-1520-51",1998,10
"0025-1525-31",1998,10
"0025-1525-34",1998,10
"0025-1525-51",1998,10
"0025-1525-96",1998,10
"0025-1530-01",1998,10
"0025-1530-02",1998,10
"0025-1710-01",2002,9
"0025-1710-02",2002,9
"0025-1710-03",2002,9
"0025-1720-01",2002,9
"0025-1720-03",2002,9
"0025-1821-31",1963,7
"0025-1821-50",1963,7
"0025-1831-31",1963,7
"0025-1831-50",1963,7
"0025-1851-31",1984,9
"0025-1861-31",1984,9
"0025-1891-31",1986,12
"0025-1891-51",1986,12
"0025-1901-31",1991,3
"0025-1911-31",1989,12
